university_name_en,city_en,title_en,degree_award,subject_family,leapto_category,programme_url,duration_months,delivery_mode,min_ielts_overall,international_tuition_gbp,tuition_evidence_status,source_academic_year,published_start_term,application_deadline,collection_status,last_checked_at
Newcastle University,Newcastle,"Accounting, Finance and Financial Analysis MSc",MSC,business-management-finance,"Management, Business & Industrial Engineering",https://www.ncl.ac.uk/postgraduate/degrees/4050f,,on_campus,,,,2025-26,September 2026,,latest_official_page,2026-08-15T12:45:04.717057+00:00
Newcastle University,Newcastle,"Accounting, Finance and Strategic Investment MSc",MSC,business-management-finance,"Management, Business & Industrial Engineering",https://www.ncl.ac.uk/postgraduate/degrees/5156f,,on_campus,,,,2025-26,September 2026,,latest_official_page,2026-08-15T12:45:04.717057+00:00
Newcastle University,Newcastle,Advanced Artificial Intelligence MSc,MSC,computing-data-ai,Computer Engineering & Computer Science,https://www.ncl.ac.uk/postgraduate/degrees/5449f,,on_campus,,,,2025-26,September 2026,,latest_official_page,2026-08-15T12:45:04.717057+00:00
Newcastle University,Newcastle,Advanced Artificial Intelligence with Autonomous Systems MSc,MSC,computing-data-ai,Computer Engineering & Computer Science,https://www.ncl.ac.uk/postgraduate/degrees/5557f,,on_campus,,,,2025-26,September 2027,,latest_official_page,2026-08-15T12:45:04.717057+00:00
Newcastle University,Newcastle,Advanced Artificial Intelligence with Cybersecurity MSc,MSC,computing-data-ai,Computer Engineering & Computer Science,https://www.ncl.ac.uk/postgraduate/degrees/5558f,,on_campus,,,,2025-26,September 2027,,latest_official_page,2026-08-15T12:45:04.717057+00:00
Newcastle University,Newcastle,Advanced Computer Science MSc,MSC,computing-data-ai,Computer Engineering & Computer Science,https://www.ncl.ac.uk/postgraduate/degrees/5178f,,on_campus,,,,2025-26,September 2026,,latest_official_page,2026-08-15T12:45:04.717057+00:00
Newcastle University,Newcastle,Advanced Data Science MSc,MSC,computing-data-ai,Computer Engineering & Computer Science,https://www.ncl.ac.uk/postgraduate/degrees/5395f,,on_campus,,,,2025-26,September 2026,,latest_official_page,2026-08-15T12:45:04.717057+00:00
Newcastle University,Newcastle,Advanced Data Science with Health MSc,MSC,health-life-sciences,Life Sciences & Medicine,https://www.ncl.ac.uk/postgraduate/degrees/5521f,,on_campus,,,,2025-26,September 2026,,latest_official_page,2026-08-15T12:45:04.717057+00:00
Newcastle University,Newcastle,Advanced Data Science with Statistics MSc,MSC,computing-data-ai,Computer Engineering & Computer Science,https://www.ncl.ac.uk/postgraduate/degrees/5520f,,on_campus,,,,2025-26,September 2026,,latest_official_page,2026-08-15T12:45:04.717057+00:00
Newcastle University,Newcastle,Advanced Landscape Planning and Management MSc,MSC,business-management-finance,"Management, Business & Industrial Engineering",https://www.ncl.ac.uk/postgraduate/degrees/4151f,,on_campus,,,,2025-26,September 2026,,latest_official_page,2026-08-15T12:45:04.717057+00:00
